name,misspellings
Akana,"['Akanq', 'Aiana', 'Akanw', 'Akaba']"
Ishikawa,"['Ishikaws', 'Isyikawa', 'Ishikasa']"
Rogers,"['Rlgers', 'Fogers']"
Lin,"['Lun', 'Lij', 'Oin']"
Oda,['Odz']
Uehara,"['Uehafa', 'Uehafa', 'Yehara']"
Evans,"['Evabs', 'Evajs', 'Evana', 'Wvans']"
Fukuda,"['Fuiuda', 'Fukudw']"
Carter,['Farter']
Okamoto,"['Omamoto', 'Okqmoto', 'Okamotl']"
Hee,['Hre']
Ogata,"['Ofata', 'Ovata', 'Ogatz']"
Villanueva,"['Vilpanueva', 'Villanuevz', 'Villanuevq']"
Yamashiro,"['Ywmashiro', 'Yamazhiro']"
Mitchell,"['Motchell', 'Mitcbell', 'Mitchrll', 'Mitxhell']"
Mau,['Kau']
Watson,"['Qatson', 'Wqtson', 'Wwtson']"
Ishii,['Ishiu']
Choi,"['Cboi', 'Dhoi']"
Morita,"['Morira', 'Morits', 'Moriga']"
Yoshioka,"['Yoshioia', 'Yoshkoka']"
Tavares,"['Tavarws', 'Tavarrs']"
Vierra,"['Bierra', 'Vieera']"
Ancheta,['Ancyeta']
Wang,"['Wajg', 'Wajg', 'Eang']"
Murphy,"['Mjrphy', 'Jurphy', 'Murpht', 'Murpby']"
Asuncion,['Asuncioj']
Wood,"['Wlod', 'Woor']"
Honda,"['Nonda', 'Honra', 'Hohda', 'Hlnda']"
Foster,"['Fostet', 'Foater', 'Fosger', 'Fosrer']"
Richardson,"['Eichardson', 'Ricnardson', 'Richardwon']"
Gonzales,"['Gonzakes', 'Glnzales', 'Gonzwles', 'Gonzaled']"
Delacruz,"['Delacrjz', 'Delafruz', 'Delacriz']"
Hamada,"['Hajada', 'Hamafa', 'Hzmada', 'Hamadz']"
Miyasato,"['Miyssato', 'Miyaswto']"
Nakata,"['Nakats', 'Bakata', 'Naiata', 'Nwkata']"
Bell,"['Beol', 'Bdll', 'Belo', 'Bdll']"
Okamura,['Okakura']
Rodriguez,"['Rosriguez', 'Rodriguwz']"
Mendoza,"['Jendoza', 'Memdoza', 'Mendoxa', 'Mendosa']"
Tolentino,"['Yolentino', 'Tolenrino', 'Rolentino']"
Chock,['Dhock']
Sullivan,['Sullivwn']
Agustin,"['Avustin', 'Agustim', 'Agudtin', 'Aguston']"
Toyama,['Toyaka']
Wu,"['Su', 'Wj', 'Wi', 'Su']"
Ventura,"['Vejtura', 'Venturw']"
Antonio,"['Angonio', 'Antobio']"
Meyer,['Mryer']
Kawakami,"['Mawakami', 'Kawalami', 'Kswakami', 'Kawakaji']"
Cho,"['Chl', 'Fho']"
Tam,"['Taj', 'Fam']"
Nishimoto,['Nishijoto']
Stewart,"['Stesart', 'Stewzrt', 'Xtewart', 'Xtewart']"
Cheng,['Dheng']
Lim,"['Lin', 'Lom', 'Lum', 'Lij']"
Collins,"['Colluns', 'Collijs', 'Coloins', 'Collinx']"
Costa,"['Dosta', 'Cosga', 'Cpsta', 'Costw']"
Okada,"['Oksda', 'Okadq', 'Okadw', 'Okafa']"
Stone,"['Stohe', 'Xtone', 'Stlne', 'Syone']"
Yamasaki,"['Uamasaki', 'Hamasaki', 'Yamqsaki']"
Salvador,"['Salvadir', 'Saovador', 'Salvadlr', 'Salfador']"
Masuda,['Masuea']
Guerrero,"['Gierrero', 'Huerrero']"
Soares,"['Soarrs', 'Soards', 'Soarea', 'Soarex']"
Miura,"['Moura', 'Miurw', 'Miufa']"
Ramirez,['Ranirez']
Nagata,['Nagaga']
Morgan,['Jorgan']
Higashi,"['Higashu', 'Hivashi', 'Hogashi', 'Higzshi']"
Gray,"['Fray', 'Hray', 'Geay']"
Yang,['Yant']
Fujita,"['Fujiga', 'Fujitw', 'Fyjita']"
Muraoka,"['Muraika', 'Murapka', 'Muraokw']"
Lindsey,"['Lundsey', 'Linesey', 'Lihdsey', 'Linrsey']"
Nakama,['Nakzma']
Nishida,"['Nidhida', 'Nidhida', 'Nishoda']"
Ross,"['Eoss', 'Riss', 'Rosw']"
Fukumoto,"['Fukumpto', 'Fukujoto']"
Murray,"['Mufray', 'Murfay']"
Kelly,"['Kekly', 'Lelly', 'Keloy']"
Yap,"['Yao', 'Tap', 'Yao']"
Ortiz,"['Ortuz', 'Lrtiz']"
Takara,"['Tzkara', 'Tamara', 'Takarw']"
Tang,"['Gang', 'Fang', 'Tahg', 'Tahg']"
Nitta,"['Mitta', 'Nitga']"
Turner,"['Turnrr', 'Turnwr', 'Tyrner']"
Kinoshita,"['Kinoahita', 'Kinoshits', 'Kinpshita']"
Murata,"['Muraga', 'Mjrata']"
Hara,"['Harq', 'Hqra', 'Haea', 'Hars']"
Kong,"['Konf', 'Kobg']"
Hasegawa,"['Basegawa', 'Hasegaea', 'Hzsegawa']"
James,['Jamez']
Oyama,"['Oyamz', 'Oyams', 'Oywma']"
Russell,['Russeol']
Ogawa,"['Ogaqa', 'Ohawa', 'Ogwwa']"
Nakayama,['Nalayama']
Fisher,"['Risher', 'Fusher', 'Visher']"
Peters,"['Petwrs', 'Petefs', 'Petefs', 'Petrrs']"
Huang,"['Huajg', 'Guang', 'Juang', 'Huanb']"
Ruiz,['Tuiz']
Yoshimoto,"['Yoshumoto', 'Yosbimoto', 'Yoshimogo', 'Uoshimoto']"
Iwamoto,"['Iwamito', 'Iwamofo', 'Iwajoto', 'Iwamlto']"
Reed,"['Rred', 'Eeed']"
Nagamine,"['Nagamind', 'Nagamind', 'Natamine', 'Nabamine']"
Stevens,"['Steqens', 'Stefens', 'Srevens']"
Edwards,"['Edwsrds', 'Edwarrs', 'Edwafds']"
Cooper,"['Coooer', 'Coiper', 'Copper']"
Taniguchi,"['Tanigucho', 'Tanituchi']"
Tomita,"['Tomota', 'Tojita', 'Tomuta', 'Tomota']"
Kang,['Iang']
Kennedy,['Kennefy']
Ige,"['Ibe', 'Igd', 'Igr']"
Lucas,"['Lucax', 'Lycas', 'Lucws']"
Tengan,"['Tengwn', 'Trngan']"
Aki,"['Ski', 'Ami', 'Aji']"
Alexander,"['Alexznder', 'Aoexander']"
Graham,"['Gragam', 'Grahwm']"
Howard,"['Hlward', 'Howwrd']"
Lai,"['Lak', 'Lao', 'Lwi']"
Cole,"['Cold', 'Dole']"
Bonilla,['Bonklla']
Johnston,['Mohnston']
Yu,"['Yy', 'Yj']"
Koga,['Kogw']
Zane,"['Zaje', 'Zame', 'Zame']"
Molina,"['Mllina', 'Moluna']"
Saiki,"['Swiki', 'Saili', 'Saiko']"
Okazaki,"['Ojazaki', 'Okazaji', 'Okazako', 'Okazaji']"
Ing,['Ijg']
Taira,"['Gaira', 'Taiea', 'Tsira', 'Tairq']"
Gomez,"['Gojez', 'Gokez', 'Tomez', 'Gomes']"
Wallace,['Wwllace']
Fujiwara,"['Fujiqara', 'Fjjiwara']"
dela Cruz,['dela Vruz']
Endo,"['Endi', 'Endp']"
Matsuoka,['Mqtsuoka']
Wagner,"['Wsgner', 'Wagnrr', 'Wagjer']"
Nomura,"['Nimura', 'Homura']"
Matsumura,"['Matsymura', 'Mstsumura', 'Matsumufa']"
Han,"['Haj', 'Hsn', 'Haj']"
Ko,"['Kp', 'Kl']"
Lorenzo,['Lorenxo']
Kubo,"['Kibo', 'Kybo', 'Kuvo']"
Matsuura,"['Mstsuura', 'Matsjura', 'Matwuura', 'Matzuura']"
Schmidt,['Schkidt']
Ryan,"['Eyan', 'Rtan']"
Takata,"['Takatz', 'Fakata']"
Jenkins,"['Jdnkins', 'Jenkims']"
Peralta,['Peralts']
Duarte,"['Dyarte', 'Duartr']"
Ward,"['Watd', 'Warf', 'Watd', 'Qard']"
Shishido,"['Shishudo', 'Shishidl', 'Zhishido', 'Shisgido']"
Cox,"['Coz', 'Coc']"
Price,"['Pride', 'Proce', 'Prixe']"
Dias,"['Duas', 'Fias', 'Diss', 'Diws']"
Henderson,"['Hejderson', 'Jenderson', 'Heneerson']"
Hirano,"['Hitano', 'Hiraho', 'Hurano', 'Hurano']"
Pasion,"['Pzsion', 'Pawion', 'Pasiom']"
Andres,"['Andrds', 'Ahdres', 'Ajdres', 'Andrws']"
Burns,"['Burms', 'Vurns', 'Burbs']"
Woo,"['Wio', 'Wio', 'Wop', 'Wpo']"
Akiona,['Akuona']
Guzman,"['Guxman', 'Guaman', 'Guznan']"
Kawasaki,"['Kawasaku', 'Kwwasaki', 'Kaqasaki']"
Patterson,"['Pztterson', 'Patterspn']"
Char,"['Xhar', 'Chqr', 'Fhar', 'Cjar']"
Takemoto,"['Takekoto', 'Takemoro', 'Tajemoto', 'Takdmoto']"
Rose,['Rise']
Luke,['Puke']
Siu,"['Diu', 'Diu', 'Sku', 'Sou']"
Ballesteros,"['Ballesterls', 'Ballesteris', 'Ballesterps', 'Ballesteris']"
McDonald,"['McDonalc', 'McSonald', 'McDlnald']"
Cheung,['Cheuhg']
Hansen,['Hsnsen']
Viernes,"['Vierjes', 'Viernds', 'Vierjes', 'Biernes']"
Shin,"['Ahin', 'Dhin', 'Zhin']"
Taketa,"['Takwta', 'Takera', 'Raketa', 'Twketa']"
Mattos,"['Jattos', 'Mattod', 'Msttos']"
Takushi,"['Gakushi', 'Takyshi', 'Takushk', 'Yakushi']"
Woods,['Eoods']
Demello,['Dekello']
Wada,"['Wafa', 'Waca', 'Eada', 'Eada']"
Enos,"['Enoa', 'Dnos', 'Ejos', 'Enoa']"
Richards,['Richarcs']
Araki,['Arski']
Gabriel,"['Gabruel', 'Gabroel', 'Gabriwl']"
Gouveia,['Gojveia']
Kubota,"['Kuboga', 'Kublta']"
Mori,['Miri']
Toma,"['Goma', 'Foma', 'Tlma', 'Tima']"
Powell,"['Ppwell', 'Powwll']"
Brooks,"['Brooka', 'Broiks', 'Btooks', 'Bropks']"
West,"['Wesy', 'Wedt']"
Black,"['Blacj', 'Blwck', 'Vlack', 'Blacl']"
Hamilton,"['Hajilton', 'Hamipton', 'Gamilton']"
Ma,['Mz']
Tokunaga,['Tlkunaga']
Reynolds,['Retnolds']
Rosa,"['Rlsa', 'Rosw', 'Tosa']"
Yi,"['Yk', 'Hi', 'Yo', 'Yk']"
Le,"['Lr', 'Ld', 'Ld']"
Simon,"['Skmon', 'Sinon', 'Sikon', 'Aimon']"
Hunt,"['Hjnt', 'Hjnt', 'Junt']"
Kodama,"['Kodaka', 'Kodsma', 'Kodaka', 'Lodama']"
Matsunaga,"['Matxunaga', 'Natsunaga']"
Diaz,"['Siaz', 'Diaa']"
Fukunaga,"['Fukinaga', 'Fukunsga', 'Fukunzga', 'Fjkunaga']"
Rapozo,"['Rzpozo', 'Rapoao', 'Rapozp', 'Fapozo']"
Hanson,"['Hansin', 'Handon', 'Hsnson']"
Hu,"['Nu', 'Hy']"
Harrison,"['Harfison', 'Harridon', 'Haerison', 'Harrixon']"
Hayes,"['Hayed', 'Yayes', 'Hates']"
Low,['Liw']
Guillermo,"['Guiklermo', 'Guullermo', 'Tuillermo', 'Guilpermo']"
Mukai,"['Mykai', 'Mukak', 'Kukai', 'Jukai']"
Jensen,"['Jensdn', 'Jenxen', 'Jenseh']"
Morikawa,"['Motikawa', 'Morkkawa']"
Medina,"['Medima', 'Mrdina', 'Medima', 'Mwdina']"
Kondo,"['Kondp', 'Kondi', 'Konco']"
Shinsato,"['Shinszto', 'Shinwato', 'Shinswto']"
Sanders,"['Sqnders', 'Samders', 'Sandwrs']"
Fox,"['Flx', 'Foz', 'Foc']"
Rapoza,"['Tapoza', 'Raooza', 'Raloza', 'Rspoza']"
Soriano,['Siriano']
Badua,"['Nadua', 'Barua', 'Badja', 'Baeua']"
Wheeler,['Wheelwr']
Coleman,"['Cooeman', 'Cileman', 'Cileman', 'Cpleman']"
Kobashigawa,"['Kobasgigawa', 'Kovashigawa', 'Konashigawa', 'Kobashkgawa']"
Porter,"['Portdr', 'Porrer']"
Texeira,['Gexeira']
Gordon,"['Hordon', 'Gorson', 'Gotdon', 'Gordln']"
Yonamine,"['Yonsmine', 'Yonajine']"
Carlson,['Xarlson']
Mercado,"['Mercsdo', 'Mercaro', 'Merdado']"
Burke,"['Vurke', 'Birke', 'Burkd', 'Hurke']"
Simmons,"['Simmpns', 'Simmonw']"
Tong,"['Tpng', 'Tonh', 'Ting', 'Tobg']"
Barnes,['Baenes']
Fujikawa,"['Fumikawa', 'Fujikaws']"
Lo,['Ll']
Miyahira,"['Niyahira', 'Miuahira', 'Mihahira']"
Dunn,['Eunn']
Furukawa,['Curukawa']
Agbayani,"['Wgbayani', 'Atbayani', 'Abbayani', 'Agbaysni']"
Kiyabu,"['Kihabu', 'Kiyaby', 'Koyabu', 'Kiyzbu']"
Ford,['Fotd']
Shaw,['Sgaw']
Agena,"['Ahena', 'Avena', 'Ageja']"
Joseph,"['Jiseph', 'Joselh', 'Uoseph', 'Jlseph']"
Padilla,['Padiola']
Cambra,"['Cambea', 'Cwmbra', 'Cambrs']"
Ishihara,['Isgihara']
Nakahara,"['Nakahaea', 'Nakzhara']"
Nobriga,"['Nohriga', 'Nonriga']"
Jordan,"['Jprdan', 'Mordan', 'Hordan']"
Marquez,"['Jarquez', 'Karquez']"
Mariano,['Markano']
Fuller,['Vuller']
Mills,"['Mikls', 'Jills']"
Sylva,['Stlva']
Takayama,"['Takwyama', 'Takayaja']"
Lawrence,"['Lawrenfe', 'Lawrwnce']"
Okumura,"['Okimura', 'Okumuea', 'Okjmura', 'Okjmura']"
Song,['Slng']
Tan,"['Tah', 'Tzn']"
Matsuo,"['Matzuo', 'Matsyo']"
Crawford,"['Frawford', 'Crawfird']"
Armstrong,"['Armsfrong', 'Armwtrong', 'Armstromg']"
Dela,"['Dels', 'Fela']"
Freeman,"['Freemsn', 'Freemam', 'Freemsn', 'Fredman']"
Shiraishi,"['Shiraushi', 'Whiraishi']"
Andrews,"['Andrrws', 'Wndrews']"
Lui,"['Lyi', 'Luo']"
Palmer,"['Palmet', 'Papmer', 'Papmer', 'Pakmer']"
Pham,"['Phqm', 'Pyam']"
Hart,"['Hwrt', 'Hatt', 'Hzrt']"
Alvarez,"['Alvaeez', 'Akvarez', 'Alvarwz']"
Ignacio,"['Ignavio', 'Ignadio', 'Ignwcio']"
