name,misspellings
Kapaa,"['Kwpaa', 'Kapza', 'Japaa', 'Kapsa', 'Japaa']"
Aiea,"['Aieq', 'Aiwa', 'Ziea', 'Qiea', 'Auea']"
Hickam Housing,"['Hickam Housong', 'Hickam Bousing', 'Hiciam Housing', 'Hickam Housung', 'Hickwm Housing']"
Haiku-Pauwela,"['Gaiku-Pauwela', 'Haoku-Pauwela', 'Haiku-Pauwela', 'Haiku-Pauwela', 'Hwiku-Pauwela']"
Lihue,"['Lihuw', 'Linue', 'Lohue', 'Lihur', 'Lihje']"
Ahuimanu,"['Ahuikanu', 'Ahuimznu', 'Ahuijanu', 'Ahukmanu', 'Ahukmanu']"
Makawao,"['Makaqao', 'Mamawao', 'Makqwao', 'Makawap', 'Makawal']"
Pukalani,"['Pukalank', 'Pukalqni', 'Puialani', 'Pukaoani', 'Pukwlani']"
Waikoloa Village,"['Waikoloa Villzge', 'Waikoloa Villwge', 'Waikoloa Villagd', 'Waikolos Village', 'Waikoloa Vilkage']"
Kahaluu-Keauhou,"['Kahaluu-Kezuhou', 'Kahwluu-Keauhou', 'Kahqluu-Keauhou', 'Kahaluu-Kezuhou', 'Kahalyu-Keauhou']"
Waikele,"['Waimele', 'Saikele', 'Waikdle', 'Wwikele', 'Waikelr']"
Napili-Honokowai,"['Napili-Hojokowai', 'Napili-Honpkowai', 'Napiki-Honokowai', 'Napili-Honokosai', 'Nwpili-Honokowai']"
Kula,"['Kulz', 'Kulw', 'Kuoa', 'Kila', 'Jula']"
West Loch Estate,"['Wesf Loch Estate', 'Wdst Loch Estate', 'West Lpch Estate', 'Wewt Loch Estate', 'Wesg Loch Estate']"
Ewa Villages,"['Ewa Villagws', 'Ewa Villagds', 'Ewa Billages', 'Ewa Villagws', 'Ewa Violages']"
Wailua Homesteads,"['Wailua Jomesteads', 'Waklua Homesteads', 'Wailua Yomesteads', 'Wailua Honesteads', 'Wailia Homesteads']"
Wailea,"['Waipea', 'Wsilea', 'Waikea', 'Waulea', 'Wailra']"
Laie,"['Oaie', 'Kaie', 'Laue', 'Laid', 'Lzie']"
Waimanalo,"['Waimanako', 'Waimamalo', 'Waimanzlo', 'Eaimanalo', 'Waimahalo']"
Waipio Acres,"['Waipio Adres', 'Waipio Acred', 'Waipii Acres', 'Waipio Zcres', 'Waipuo Acres']"
Kalaheo,"['Kalahep', 'Kalayeo', 'Kslaheo', 'Kzlaheo', 'Kzlaheo']"
Iroquois Point,"['Iroquoks Point', 'Irpquois Point', 'Iroquois Poimt', 'Iroquois Poinr', 'Iroquiis Point']"
Hawaiian Ocean View,"['Haeaiian Ocean View', 'Hawaoian Ocean View', 'Hawaiian Ocean Vieq', 'Hawaiian Pcean View', 'Hawaiian Ocean Vidw']"
Hanamaulu,"['Hanamauou', 'Hznamaulu', 'Banamaulu', 'Hamamaulu', 'Hanamaupu']"
Kahaluu,"['Kahalui', 'Iahaluu', 'Kahwluu', 'Kahalui', 'Kqhaluu']"
Hawaiian Beaches,"['Hawwiian Beaches', 'Hawaiian Bewches', 'Hasaiian Beaches', 'Jawaiian Beaches', 'Hawaiian Beached']"
Haleiwa,"['Haleiea', 'Haleuwa', 'Halekwa', 'Haleiwz', 'Halwiwa']"
Heeia,"['Heeoa', 'Heeiq', 'Heeis', 'Heeoa', 'Hdeia']"
Captain Cook,"['Captqin Cook', 'Cqptain Cook', 'Captaih Cook', 'Captain Colk', 'Captain Coik']"
Puhi,"['Pihi', 'Pjhi', 'Puhk', 'Puji', 'Puni']"
Waimanalo Beach,"['Waumanalo Beach', 'Qaimanalo Beach', 'Waimanako Beach', 'Wainanalo Beach', 'Wainanalo Beach']"
Pupukea,"['Pulukea', 'Pupukez', 'Oupukea', 'Puoukea', 'Pulukea']"
Whitmore Village,"['Qhitmore Village', 'Whitmoee Village', 'Qhitmore Village', 'Whitmore Vilpage', 'Whitmire Village']"
Waikapu,"['Waikapy', 'Waikqpu', 'Saikapu', 'Waukapu', 'Wwikapu']"
Ainaloa,"['Aimaloa', 'Ainalia', 'Ainalla', 'Winaloa', 'Ainalia']"
Mountain View,"['Moyntain View', 'Mpuntain View', 'Mountqin View', 'Mountain Vieq', 'Kountain View']"
Hauula,"['Hauuka', 'Hauila', 'Haiula', 'Hauyla', 'Hauila']"
Kekaha,"['Lekaha', 'Keksha', 'Jekaha', 'Kekqha', 'Kekahq']"
Kurtistown,"['Kurtustown', 'Kurtistoen', 'Iurtistown', 'Kuttistown', 'Kurtistpwn']"
Orchidlands Estates,"['Orchidlands Eststes', 'Orchudlands Estates', 'Irchidlands Estates', 'Orchidlancs Estates', 'Orchielands Estates']"
Waialua,"['Waiqlua', 'Waialuz', 'Waiqlua', 'Qaialua', 'Waualua']"
Helemano,"['Hwlemano', 'Helemqno', 'Hepemano', 'Helemaho', 'Helwmano']"
Kaunakakai,"['Kaynakakai', 'Kaunakakqi', 'Kaunakakak', 'Ksunakakai', 'Kaunalakai']"
Hawaiian Acres,"['Nawaiian Acres', 'Hqwaiian Acres', 'Hqwaiian Acres', 'Hawakian Acres', 'Hawqiian Acres']"
Kilauea,"['Jilauea', 'Kipauea', 'Kolauea', 'Kikauea', 'Milauea']"
Lanai City,"['Lanai Xity', 'Lahai City', 'Lanai Ciry', 'Lanzi City', 'Lanai Citu']"
Holualoa,"['Holualoq', 'Holuakoa', 'Holualpa', 'Holuaooa', 'Holualoz']"
Hanapepe,"['Hanspepe', 'Habapepe', 'Yanapepe', 'Hajapepe', 'Hanapele']"
Eleele,"['Eleeld', 'Eleepe', 'Eoeele', 'Wleele', 'Eleepe']"
Honaunau-Napoopoo,"['Honaunau-Napooooo', 'Honajnau-Napoopoo', 'Honaunau-Nappopoo', 'Hohaunau-Napoopoo', 'Honaunau-Naloopoo']"
Lawai,"['Laeai', 'Pawai', 'Lawqi', 'Lwwai', 'Lawak']"
Wailua,"['Waipua', 'Eailua', 'Wsilua', 'Wailya', 'Waioua']"
Keokea,"['Keokeq', 'Kwokea', 'Kepkea', 'Kdokea', 'Kepkea']"
Koloa,"['Joloa', 'Kiloa', 'Klloa', 'Kopoa', 'Loloa']"
Anahola,"['Anshola', 'Anzhola', 'Anahols', 'Anahooa', 'Anahpla']"
Kalaeloa,"['Kakaeloa', 'Lalaeloa', 'Kalaeooa', 'Jalaeloa', 'Jalaeloa']"
Kealakekua,"['Kealamekua', 'Kealqkekua', 'Kealakekuw', 'Kealakekja', 'Kealqkekua']"
Honokaa,"['Honokas', 'Honokqa', 'Hpnokaa', 'Honolaa', 'Honokas']"
Paia,"['Pwia', 'Paoa', 'Oaia', 'Pzia', 'Pais']"
Kahuku,"['Kahuiu', 'Kahulu', 'Kwhuku', 'Kqhuku', 'Kahulu']"
Mokuleia,"['Mokukeia', 'Mokuleiz', 'Moiuleia', 'Mokuleua', 'Mojuleia']"
East Kapolei,"['Eqst Kapolei', 'East Kapoleo', 'Ewst Kapolei', 'Ezst Kapolei', 'East Kwpolei']"
Wheeler AFB,"['Wheeler AFG', 'Whewler AFB', 'Wheeler SFB', 'Wheeoer AFB', 'Sheeler AFB']"
Pahala,"['Pwhala', 'Pahaka', 'Oahala', 'Pahsla', 'Pahalq']"
Kapaau,"['Japaau', 'Japaau', 'Kapaay', 'Kapqau', 'Kapasu']"
Princeville,"['Peinceville', 'Princeviple', 'Prknceville', 'Princevolle', 'Princevillr']"
Maunawili,"['Mauhawili', 'Maynawili', 'Mainawili', 'Kaunawili', 'Maunawilo']"
Kualapuu,"['Kualapiu', 'Kualapyu', 'Kualapyu', 'Kialapuu', 'Kjalapuu']"
Leilani Estates,"['Leilani Estayes', 'Leilano Estates', 'Leilani Eatates', 'Leipani Estates', 'Leulani Estates']"
Kaloko,"['Kakoko', 'Kakoko', 'Kzloko', 'Jaloko', 'Kalojo']"
Fern Acres,"['Fern Acrez', 'Fern Acrea', 'Fern Wcres', 'Rern Acres', 'Fern Acrez']"
Ko Olina,"['Ko Olinz', 'Ko Olinz', 'Mo Olina', 'Mo Olina', 'Ko Olins']"
Waimea,"['Waijea', 'Waikea', 'Waijea', 'Waimes', 'Wakmea']"
Pepeekeo,"['Peperkeo', 'Pepeekwo', 'Lepeekeo', 'Pepeekro', 'Pepeekdo']"
Omao,"['Omap', 'Omzo', 'Pmao', 'Omap', 'Okao']"
Nanawale Estates,"['Nanawale Estayes', 'Nanawalw Estates', 'Nanawale Rstates', 'Nanawale Esrates', 'Nanawale Esyates']"
Hawi,"['Hswi', 'Gawi', 'Haei', 'Haei', 'Haqi']"
Royal Hawaiian Estates,"['Royal Hawaiian Estwtes', 'Royal Hawaiian Estares', 'Royal Hawaiian Estatez', 'Royal Hawaiian Estafes', 'Royal Hawaiian Eststes']"
Keaau,"['Keazu', 'Keaqu', 'Keaay', 'Keaay', 'Kewau']"
Laupahoehoe,"['Laupahowhoe', 'Laupahoejoe', 'Laupwhoehoe', 'Laupzhoehoe', 'Lauoahoehoe']"
Kaaawa,"['Laaawa', 'Kaqawa', 'Kaaasa', 'Kwaawa', 'Jaaawa']"
Pahoa,"['Pagoa', 'Oahoa', 'Oahoa', 'Lahoa', 'Pahpa']"
Kaumakani,"['Kaumakqni', 'Kwumakani', 'Maumakani', 'Kaumakano', 'Kaumskani']"
Discovery Harbour,"['Discivery Harbour', 'Discovery Harbiur', 'Discovery Harblur', 'Dkscovery Harbour', 'Dkscovery Harbour']"
Mauna Loa Estates,"['Mauna Loa Esfates', 'Mauha Loa Estates', 'Mwuna Loa Estates', 'Jauna Loa Estates', 'Mauba Loa Estates']"
Kaanapali,"['Kaanalali', 'Kzanapali', 'Kaamapali', 'Maanapali', 'Kaanapalo']"
Punaluu,"['Punalju', 'Punakuu', 'Pinaluu', 'Punalju', 'Ounaluu']"
Wainaku,"['Waunaku', 'Wainaju', 'Wainqku', 'Wainaki', 'Wainaki']"
Naalehu,"['Naapehu', 'Naaldhu', 'Naaoehu', 'Naaoehu', 'Naalegu']"
Poipu,"['Ooipu', 'Poilu', 'Poopu', 'Poiou', 'Poilu']"
Haliimaile,"['Haoiimaile', 'Haliimaild', 'Haliimailr', 'Halkimaile', 'Halikmaile']"
Olinda,"['Olinea', 'Olindz', 'Olonda', 'Olinsa', 'Olinea']"
Mahinahina,"['Mahimahina', 'Maginahina', 'Mahinshina', 'Mahunahina', 'Mahinahima']"
Papaikou,"['Papaukou', 'Papsikou', 'Pzpaikou', 'Papaokou', 'Palaikou']"
Honalo,"['Jonalo', 'Honapo', 'Nonalo', 'Hojalo', 'Honqlo']"
Hana,"['Nana', 'Hanq', 'Hanz', 'Hzna', 'Nana']"
Volcano,"['Vilcano', 'Voocano', 'Volcwno', 'Volcani', 'Volcanl']"
Eden Roc,"['Esen Roc', 'Eddn Roc', 'Edeb Roc', 'Eden Toc', 'Edem Roc']"
Volcano Golf Course,"['Volczno Golf Course', 'Volvano Golf Course', 'Volcano Golf Fourse', 'Volcano Golf Xourse', 'Volfano Golf Course']"
Halaula,"['Halauls', 'Haoaula', 'Balaula', 'Halaulz', 'Halwula']"
Fern Forest,"['Fern Forezt', 'Ferb Forest', 'Fern Flrest', 'Fern Firest', 'Fern Forrst']"
Waikoloa Beach Resort,"['Waikoloa Beadh Resort', 'Waikoloa Beach Fesort', 'Waikolos Beach Resort', 'Wwikoloa Beach Resort', 'Waikoloa Brach Resort']"
Paukaa,"['Laukaa', 'Pqukaa', 'Pzukaa', 'Paukwa', 'Pauiaa']"
Launiupoko,"['Launiuooko', 'Launiupomo', 'Kauniupoko', 'Launiuooko', 'Lauhiupoko']"
Waiahole-Waikane,"['Waiahole-Waikane', 'Waiahooe-Waikane', 'Waiaholw-Waikane', 'Waiayole-Waikane', 'Waianole-Waikane']"
Tiki Gardens,"['Tiko Gardens', 'Tiki Gwrdens', 'Riki Gardens', 'Timi Gardens', 'Yiki Gardens']"
Paauilo,"['Paauulo', 'Paauulo', 'Paauioo', 'Pasuilo', 'Paauioo']"
Ualapue,"['Uslapue', 'Ualapje', 'Ualapje', 'Uzlapue', 'Ualalue']"
Pakala Village,"['Pakalz Village', 'Pakala Villagw', 'Pakala Violage', 'Pskala Village', 'Pakala Villagr']"
Honomu,"['Hinomu', 'Hohomu', 'Hobomu', 'Honoju', 'Honlmu']"
Hanalei,"['Hamalei', 'Hanakei', 'Hanzlei', 'Hanwlei', 'Janalei']"
Kapalua,"['Kapalia', 'Kapalya', 'Kapaluq', 'Kapslua', 'Kapaluq']"
Kawela Bay,"['Kwwela Bay', 'Kasela Bay', 'Kswela Bay', 'Kawelz Bay', 'Kaqela Bay']"
Kukuihaele,"['Kukuibaele', 'Kukjihaele', 'Kuiuihaele', 'Kjkuihaele', 'Kuluihaele']"
Maunaloa,"['Mwunaloa', 'Naunaloa', 'Mzunaloa', 'Maumaloa', 'Mauhaloa']"
Kalihiwai,"['Malihiwai', 'Kalihieai', 'Malihiwai', 'Kaligiwai', 'Kalkhiwai']"
Maalaea,"['Maalaez', 'Maalzea', 'Naalaea', 'Maalsea', 'Maalara']"
Puako,"['Puakp', 'Puakp', 'Pjako', 'Ouako', 'Puzko']"
Waiohinu,"['Waiohonu', 'Waiphinu', 'Saiohinu', 'Waiojinu', 'Waiohimu']"
Haena,"['Harna', 'Naena', 'Haeba', 'Haens', 'Hadna']"
Wainiha,"['Wainoha', 'Wainkha', 'Wainija', 'Qainiha', 'Wqiniha']"
Seaview,"['Seavuew', 'Seavkew', 'Sesview', 'Sraview', 'Aeaview']"
Makena,"['Mzkena', 'Mqkena', 'Malena', 'Makeha', 'Makeha']"
Kamaili,"['Kamzili', 'Kanaili', 'Kzmaili', 'Kamaoli', 'Kajaili']"
Makaha Valley,"['Mskaha Valley', 'Makaha Valleu', 'Mskaha Valley', 'Makqha Valley', 'Maksha Valley']"
Black Sands,"['Black Sqnds', 'Black Aands', 'Blaxk Sands', 'Blacj Sands', 'Bkack Sands']"
Olowalu,"['Olowqlu', 'Olowalj', 'Olosalu', 'Olowqlu', 'Llowalu']"
Manele,"['Janele', 'Manepe', 'Manelr', 'Janele', 'Mahele']"
Kalapana,"['Kalapanw', 'Kalapaha', 'Kalapama', 'Lalapana', 'Kalapwna']"
