name,misspellings
HoÊ»omana,"['HpÊ»omana', 'HlÊ»omana', 'HoÊ»lmana', 'HoÊ»ojana', 'HlÊ»omana']"
Ikaika,"['Ijaika', 'Kkaika', 'Ijaika', 'Ikakka', 'Ikaoka']"
Iki,"['Uki', 'Oki', 'Uki', 'Ikk', 'Kki']"
Inoa,"['Imoa', 'Inos', 'Onoa', 'Inoz', 'Imoa']"
Iokepa,"['Iolepa', 'Iokeoa', 'Iojepa', 'Iokwpa', 'Ipkepa']"
Iolana,"['Uolana', 'Iolaja', 'Iolaja', 'Iolaha', 'Illana']"
Iolani,"['Iokani', 'Iilani', 'Iolahi', 'Iopani', 'Oolani']"
Io lani,"['Il lani', 'Io lank', 'Io lanu', 'Io kani', 'Io pani']"
Ionakana,"['Iohakana', 'Iojakana', 'Konakana', 'Ionakaja', 'Ionakqna']"
Ka'ahumanu,"[""Ka'ahymanu"", ""Ka'ahimanu"", ""Ka'zhumanu"", ""Kw'ahumanu"", ""Ka'whumanu""]"
Ka'eo,"[""Ka'ro"", ""Ks'eo"", ""Ka'ei"", ""Ka'eo"", ""Ka'do""]"
Kahale,"['Kqhale', 'Kshale', 'Kayale', 'Kzhale', 'Kanale']"
KahikÅ«,"['KabikÅ«', 'KanikÅ«', 'KahukÅ«', 'KahokÅ«', 'MahikÅ«']"
Ka Hiwa,"['Ka Hiww', 'Ka Howa', 'Ka Hiww', 'Ka Jiwa', 'Ka Niwa']"
Kaholo,"['Kahllo', 'Kahplo', 'Kaholp', 'Jaholo', 'Kwholo']"
Kai,"['Kau', 'Iai', 'Lai', 'Kau', 'Iai']"
Kaia,"['Kzia', 'Kaiw', 'Kaoa', 'Kaoa', 'Ksia']"
Kailani,"['Jailani', 'Kqilani', 'Jailani', 'Kaikani', 'Kaulani']"
Kaili,"['Kaoli', 'Kwili', 'Kwili', 'Kaiki', 'Kailu']"
Kailua,"['Kailja', 'Kaolua', 'Iailua', 'Kaklua', 'Lailua']"
Kaimana,"['Kainana', 'Kwimana', 'Jaimana', 'Kqimana', 'Kaomana']"
Kainalu,"['Kainqlu', 'Kaihalu', 'Kqinalu', 'Kainqlu', 'Lainalu']"
Kainoa,"['Kainla', 'Kqinoa', 'Kainow', 'Kainoq', 'Kainla']"
Kaipo,"['Kailo', 'Kzipo', 'Kaioo', 'Kqipo', 'Kailo']"
KalÄkaua,"['JalÄ\x81kaua', 'MalÄ\x81kaua', 'KaoÄ\x81kaua', 'KalÄ\x81kaia', 'KalÄ\x81kwua']"
Kalama,"['Jalama', 'Kalaka', 'Ialama', 'Kalamq', 'Kalams']"
Kalani,"['Kalahi', 'Kapani', 'Kalanu', 'Kalano', 'Kalahi']"
Kalea,"['Kzlea', 'Kalez', 'Kales', 'Kapea', 'Kalda']"
Kalena,"['Kzlena', 'Kaldna', 'Kapena', 'Ialena', 'Kalenw']"
Kaleo,"['Ksleo', 'Kqleo', 'Kqleo', 'Kalep', 'Laleo']"
Kamea,"['Kajea', 'Mamea', 'Kajea', 'Kajea', 'Kamra']"
Ka mea Ê»imi,"['Ka mes Ê»imi', 'Ka nea Ê»imi', 'Ka kea Ê»imi', 'Ka jea Ê»imi', 'Ka mea Ê»iki']"
Kamehameha,"['Kamehzmeha', 'Kamehqmeha', 'Mamehameha', 'Kamenameha', 'Kamwhameha']"
Kanakamana,"['Kanaiamana', 'Kanakamanz', 'Kanakamanw', 'Kanakzmana', 'Kanskamana']"
Kanani,"['Kamani', 'Ksnani', 'Kajani', 'Kanzni', 'Lanani']"
Kane,"['Kaje', 'Kqne', 'Kaje', 'Lane', 'Kanw']"
Kanoa,"['Kwnoa', 'Janoa', 'Kamoa', 'Ksnoa', 'Kaboa']"
Kapu,"['Japu', 'Lapu', 'Mapu', 'Lapu', 'Kapj']"
Kapua,"['Mapua', 'Iapua', 'Kapuz', 'Japua', 'Kapuw']"
Kaulana,"['Kaukana', 'Kaulzna', 'Kaulaba', 'Kaulzna', 'Kajlana']"
Kawika,"['Kawoka', 'Kzwika', 'Kawikz', 'Mawika', 'Kawuka']"
Ke'ala,"[""Ke'sla"", ""Ke'ala"", ""Ke'ala"", ""Je'ala"", ""Ie'ala""]"
Keaka,"['Keska', 'Keakz', 'Keama', 'Leaka', 'Keaia']"
Kealakekua,"['Kealakekuw', 'Kealakemua', 'Kealakekia', 'Kealaiekua', 'Kwalakekua']"
Kealoha,"['Kesloha', 'Iealoha', 'Kewloha', 'Keaooha', 'Lealoha']"
Keandra,"['Keandrw', 'Keahdra', 'Keanrra', 'Ieandra', 'Keanfra']"
Keawe,"['Keaqe', 'Kezwe', 'Keaee', 'Kwawe', 'Leawe']"
Keilani,"['Keilsni', 'Keklani', 'Meilani', 'Keilank', 'Keioani']"
Kekapa,"['Kejapa', 'Kelapa', 'Kdkapa', 'Iekapa', 'Keiapa']"
Kekoa,"['Keioa', 'Kwkoa', 'Kejoa', 'Kekos', 'Krkoa']"
Keola,"['Leola', 'Leola', 'Kdola', 'Keolq', 'Keolw']"
Keona,"['Keoma', 'Kepna', 'Keoja', 'Kdona', 'Keonw']"
Keone,"['Keonw', 'Leone', 'Keonr', 'Leone', 'Jeone']"
Kiele,"['Kiepe', 'Kiepe', 'Liele', 'Kieoe', 'Kuele']"
Kimo,"['Mimo', 'Limo', 'Kiml', 'Kkmo', 'Kiko']"
Kimokea,"['Kumokea', 'Kumokea', 'Kimokeq', 'Kimikea', 'Kimojea']"
Koa,"['Joa', 'Joa', 'Kos', 'Loa', 'Moa']"
Koa ikaika,"['Koa ikaiia', 'Koa ikaikq', 'Koa iksika', 'Koa ukaika', 'Koa ilaika']"
Konane,"['Kojane', 'Konaje', 'Konsne', 'Konwne', 'Konaje']"
Koukakala,"['Loukakala', 'Koikakala', 'Kpukakala', 'Koukamala', 'Moukakala']"
Ku`u Hoaloha `Oi,"['Ku`u Howloha `Oi', 'Ku`u Boaloha `Oi', 'Ku`u Yoaloha `Oi', 'Ku`u Hoapoha `Oi', 'Ku`u Hoallha `Oi']"
Ku`u Maka,"['Ku`u Kaka', 'Ku`u Mska', 'Ku`u Mzka', 'Ku`u Mqka', 'Ku`u Mqka']"
KuLopaka,"['KuKopaka', 'KuOopaka', 'KuLopzka', 'KuLopakz', 'LuLopaka']"
KumulÄÊ»au,"['IumulÄ\x81Ê»au', 'MumulÄ\x81Ê»au', 'KunulÄ\x81Ê»au', 'KumulÄ\x81Ê»ay', 'KunulÄ\x81Ê»au']"
La,"['Oa', 'Oa', 'Oa', 'Lw', 'Ka']"
Laka,"['Lama', 'Paka', 'Lama', 'Lakz', 'Lama']"
Lani,"['Pani', 'Labi', 'Lsni', 'Lano', 'Oani']"
Lani-kai,"['Lani-kqi', 'Kani-kai', 'Lani-kak', 'Lano-kai', 'Lani-jai']"
Lei,"['Leo', 'Pei', 'Lwi', 'Pei', 'Lwi']"
Leilani,"['Leilano', 'Leilank', 'Lrilani', 'Leilahi', 'Leilahi']"
Lili'uokalani,"[""Lili'uokzlani"", ""Lili'uokakani"", ""Lili'jokalani"", ""Lioi'uokalani"", ""Lili'uokalahi""]"
Lokela,"['Lokelw', 'Lpkela', 'Likela', 'Lokepa', 'Lomela']"
Lokelani,"['Lokelano', 'Lokekani', 'Lokelsni', 'Lokwlani', 'Lokeoani']"
Lono,"['Kono', 'Lpno', 'Lonl', 'Oono', 'Lojo']"
Lulua 'ina,"[""Luluq 'ina"", ""Lilua 'ina"", ""Kulua 'ina"", ""Lulua 'una"", ""Lupua 'ina""]"
Mahi'ai,"[""Magi'ai"", ""Mwhi'ai"", ""Mahi'au"", ""Mayi'ai"", ""Mahu'ai""]"
Mahina,"['Mahija', 'Majina', 'Mahija', 'Mahinw', 'Mahkna']"
MÄhoe,"['MÄ\x81yoe', 'MÄ\x81how', 'MÄ\x81how', 'JÄ\x81hoe', 'MÄ\x81goe']"
Maka,"['Kaka', 'Maia', 'Mzka', 'Makw', 'Maia']"
Makana,"['Mqkana', 'Mzkana', 'Makanw', 'Makwna', 'Mqkana']"
Makani,"['Mwkani', 'Jakani', 'Kakani', 'Mskani', 'Malani']"
MakaÊ»ala,"['MakaÊ»apa', 'MakaÊ»aoa', 'MwkaÊ»ala', 'NakaÊ»ala', 'MakqÊ»ala']"
Malie,"['Kalie', 'Malid', 'Malir', 'Makie', 'Jalie']"
Malu,"['Nalu', 'Malj', 'Malj', 'Mwlu', 'Mali']"
Mamo,"['Mako', 'Mami', 'Majo', 'Mako', 'Mamp']"
Mana,"['Jana', 'Jana', 'Maba', 'Kana', 'Msna']"
Mana'o,"[""Manq'o"", ""Mqna'o"", ""Mqna'o"", ""Manw'o"", ""Mana'o""]"
Manu,"['Mabu', 'Mwnu', 'Mamu', 'Mani', 'Nanu']"
Meka,"['Mrka', 'Mdka', 'Keka', 'Mrka', 'Mema']"
Mele,"['Melr', 'Meoe', 'Mrle', 'Mepe', 'Meld']"
Mililani,"['Mililabi', 'Mililank', 'Molilani', 'Nililani', 'Milikani']"
Mino'aka,"[""Mino'aka"", ""Mino'aia"", ""Jino'aka"", ""Mino'aka"", ""Mino'wka""]"
Moana,"['Moans', 'Moans', 'Moanw', 'Moqna', 'Mlana']"
Na'au,"[""Na'zu"", ""Na'wu"", ""Ja'au"", ""Na'au"", ""Ns'au""]"
Nahele,"['Hahele', 'Hahele', 'Nahelw', 'Nahelw', 'Naheld']"
Nalani,"['Nalwni', 'Halani', 'Nalabi', 'Nalano', 'Nslani']"
Nani,"['Nano', 'Nano', 'Nabi', 'Nano', 'Nano']"
Nani kÅkÄ«,"['Nsni kÅ\x8dkÄ«', 'Naji kÅ\x8dkÄ«', 'Nsni kÅ\x8dkÄ«', 'Nwni kÅ\x8dkÄ«', 'Nabi kÅ\x8dkÄ«']"
Nikolao,"['Nikokao', 'Niiolao', 'Nukolao', 'Nikolzo', 'Nikolso']"
Noelani,"['Noelwni', 'Npelani', 'Noelaji', 'Nodlani', 'Noelano']"
Nohea,"['Nihea', 'Nohda', 'Nohwa', 'Nihea', 'Nihea']"
Oliana,"['Oliqna', 'Okiana', 'Ooiana', 'Oliqna', 'Ooiana']"
Oliwa,"['Oliea', 'Pliwa', 'Olkwa', 'Oliww', 'Okiwa']"
Onaona,"['Onaonq', 'Onaoma', 'Onaonz', 'Obaona', 'Onapna']"
Pakelika,"['Lakelika', 'Oakelika', 'Pqkelika', 'Pzkelika', 'Pakeliks']"
Palani,"['Palqni', 'Papani', 'Pwlani', 'Lalani', 'Palank']"
Palila,"['Papila', 'Palilz', 'Pslila', 'Pslila', 'Lalila']"
Pele,"['Peld', 'Lele', 'Pelw', 'Lele', 'Peke']"
Peni,"['Pehi', 'Pemi', 'Pwni', 'Leni', 'Pebi']"
Pikake,"['Pimake', 'Likake', 'Pikale', 'Oikake', 'Pikale']"
Pilialoha,"['Piliqloha', 'Pulialoha', 'Pulialoha', 'Piliakoha', 'Pipialoha']"
PÅhaku,"['PÅ\x8dhaju', 'PÅ\x8dhakj', 'OÅ\x8dhaku', 'PÅ\x8dgaku', 'PÅ\x8dhaju']"
Polunu,"['Pllunu', 'Polynu', 'Poounu', 'Poluni', 'Pllunu']"
Pua,"['Lua', 'Puz', 'Pja', 'Pja', 'Puq']"
Pualani,"['Puslani', 'Pualank', 'Puqlani', 'Pualaji', 'Pualano']"
Pukalani,"['Pukakani', 'Pukalahi', 'Puialani', 'Pukalqni', 'Pukalabi']"
Pule,"['Oule', 'Lule', 'Lule', 'Pulw', 'Lule']"
Punahele,"['Punahwle', 'Punwhele', 'Punaheld', 'Punahelw', 'Punahepe']"
Roselani,"['Roselami', 'Eoselani', 'Rlselani', 'Roselanu', 'Roselwni']"
Ualoheke Akua,"['Uakoheke Akua', 'Ialoheke Akua', 'Ualoheke Akia', 'Ualiheke Akua', 'Ualoheie Akua']"
Uluwehi,"['Uljwehi', 'Uouwehi', 'Uluqehi', 'Uluwehu', 'Ukuwehi']"
Wai nani,"['Wai nano', 'Wau nani', 'Wai mani', 'Wak nani', 'Wai nabi']"
Wena,"['Wdna', 'Wrna', 'Wdna', 'Wenw', 'Wenw']"
34th Ave,"['34tj Ave', '44th Ave', '24th Ave', '34th Avd', '34th Avr']"
35th Ave,"['25th Ave', '35th Afe', '35th Ace', '35th Avr', '25th Ave']"
36th Ave,"['36th Abe', '26th Ave', '36th Aqe', '36th Abe', '37th Ave']"
37th Ave,"['37th Ace', '36th Ave', '47th Ave', '37th Aqe', '37yh Ave']"
38th Ave,"['38tg Ave', '38tj Ave', '38th Afe', '38th Avd', '38th Avw']"
39th Ave,"['39th Wve', '39th Avr', '39tg Ave', '30th Ave', '39th Qve']"
40th Ave,"['40th Avr', '40rh Ave', '30th Ave', '40rh Ave', '40th Zve']"
4th St,"['4th Sg', '4th Sy', '4tn St', '3th St', '5th St']"
68 Mile Rd,"['58 Mile Rd', '58 Mile Rd', '67 Mile Rd', '68 Milr Rd', '68 Mule Rd']"
8 1/2 Mi Camp Rd,"['8 1/2 Mi Canp Rd', '8 1/2 Ji Camp Rd', '8 1/2 Mi Camp Ed', '7 1/2 Mi Camp Rd', '8 2/2 Mi Camp Rd']"
A'eloa,"[""A'elow"", ""A'elpa"", ""A'epoa"", ""W'eloa"", ""Z'eloa""]"
A-1 Lot St,"['A-1 Lot Dt', 'A-1 Lot St', 'A-1 Lot Sf', 'A-1 Lot Zt', 'Z-1 Lot St']"
Aa St,"['Aa Sy', 'Qa St', 'Aq St', 'Aa Zt', 'Aa Sy']"
Aina Kaha Pl,"['Ainw Kaha Pl', 'Aina Kaha Ol', 'Aina Kaha Pp', 'Ainw Kaha Pl', 'Aina Kahq Pl']"
Akahi Ave,"['Skahi Ave', 'Akahi Afe', 'Akaho Ave', 'Akahi Afe', 'Akahi Avd']"
Akala Rd,"['Aksla Rd', 'Akwla Rd', 'Akapa Rd', 'Akalq Rd', 'Akalq Rd']"
Akana Pl,"['Akana Pk', 'Ajana Pl', 'Zkana Pl', 'Akans Pl', 'Akans Pl']"
Akasaki Rd,"['Akazaki Rd', 'Zkasaki Rd', 'Amasaki Rd', 'Akasaki Rf', 'Akasaki Rr']"
Akoni Pule Hwy,"['Akoni Pulw Hwy', 'Akonk Pule Hwy', 'Akoni Puke Hwy', 'Akoni Puld Hwy', 'Akoni Puoe Hwy']"
Alahaki Rd,"['Alahako Rd', 'Alahami Rd', 'Slahaki Rd', 'Alahaki Re', 'Alahaku Rd']"
Alapai Point Rd,"['Alapai Poimt Rd', 'Alapai Poont Rd', 'Alapwi Point Rd', 'Alapai Poibt Rd', 'Alapsi Point Rd']"
Alii Dr,"['Wlii Dr', 'Alik Dr', 'Alii De', 'Alii Fr', 'Alii Cr']"
Ama Rd N,"['Ama Fd N', 'Aka Rd N', 'Ama Td N', 'Ama Fd N', 'Amz Rd N']"
Amepela Rd,"['Ameoela Rd', 'Amdpela Rd', 'Amepela Rr', 'Wmepela Rd', 'Anepela Rd']"
Anapuka Ln,"['Anapika Ln', 'Anaouka Ln', 'Analuka Ln', 'Qnapuka Ln', 'Anapuka Kn']"
Anuenue Wawae Rd,"['Anuenue Wwwae Rd', 'Anuenue Waeae Rd', 'Anuenue Wawse Rd', 'Anuwnue Wawae Rd', 'Anuenue Eawae Rd']"
Attoa Rd,"['Attoa Td', 'Attoa Ed', 'Attpa Rd', 'Attoa Rs', 'Artoa Rd']"
Au Moku Pl,"['Au Moki Pl', 'Au Moku Pp', 'Au Mokj Pl', 'Au Mokj Pl', 'Au Molu Pl']"
Aulii St,"['Ailii St', 'Zulii St', 'Ailii St', 'Qulii St', 'Aulki St']"
Aumoana St,"['Aumlana St', 'Ajmoana St', 'Aumoama St', 'Wumoana St', 'Aumoana At']"
Aviation Trail,"['Aviation Grail', 'Aviafion Trail', 'Aviatiin Trail', 'Aviation Grail', 'Aviation Traip']"
Awa Pae Pl,"['Aea Pae Pl', 'Awa Oae Pl', 'Aww Pae Pl', 'Awa Pae Po', 'Awa Pae Pp']"
Awa Rae Loop,"['Asa Rae Loop', 'Awa Rae Lopp', 'Awq Rae Loop', 'Aea Rae Loop', 'Awa Rae Koop']"
Awapuhi,"['Awaouhi', 'Awqpuhi', 'Aeapuhi', 'Aeapuhi', 'Awapuhk']"
Awini Trail,"['Awuni Trail', 'Awini Trqil', 'Aeini Trail', 'Awini Ttail', 'Awini Traik']"
Banyan Tree Rd,"['Banyan Ttee Rd', 'Banyqn Tree Rd', 'Banhan Tree Rd', 'Banyan Tree Rc', 'Banyah Tree Rd']"
Beers Rd,"['Beerz Rd', 'Brers Rd', 'Bders Rd', 'Heers Rd', 'Geers Rd']"
Bobcat Trail,"['Bobdat Trail', 'Bobcay Trail', 'Bovcat Trail', 'Bogcat Trail', 'Bobczt Trail']"
Camp Rd,"['Camp Re', 'Vamp Rd', 'Vamp Rd', 'Famp Rd', 'Caml Rd']"
Cane Haul Rd,"['Cane Hail Rd', 'Cane Haul Fd', 'Cand Haul Rd', 'Cane Haul Rc', 'Canr Haul Rd']"
Cavalry Rd,"['Cavalry Td', 'Favalry Rd', 'Cavalry Td', 'Cavqlry Rd', 'Cavalru Rd']"
Center Rd,"['Crnter Rd', 'Centee Rd', 'Cenrer Rd', 'Denter Rd', 'Cehter Rd']"
Chain Of Craters Rd,"['Chaim Of Craters Rd', 'Cjain Of Craters Rd', 'Chain Of Craters Fd', 'Chain Of Draters Rd', 'Chaun Of Craters Rd']"
Chin Chuck Rd,"['Chin Dhuck Rd', 'Chin Cjuck Rd', 'Chih Chuck Rd', 'Chij Chuck Rd', 'Chin Chick Rd']"
Cinder Rd,"['Cijder Rd', 'Cinder Td', 'Cindef Rd', 'Cinder Rs', 'Cinser Rd']"
Cissy Rd,"['Cissy Re', 'Cissy Td', 'Cissu Rd', 'Dissy Rd', 'Xissy Rd']"
Craterrim Trail,"['Crqterrim Trail', 'Fraterrim Trail', 'Cratertim Trail', 'Cratrrrim Trail', 'Fraterrim Trail']"
Donahue Rd,"['Donahuw Rd', 'Dobahue Rd', 'Donahue Re', 'Donague Rd', 'Donabue Rd']"
Eha Pl,"['Eba Pl', 'Eha Ol', 'Eha Pp', 'Eha Ll', 'Eha Ll']"
Ekolu Pl,"['Ekolu Pp', 'Ekolu Ll', 'Eiolu Pl', 'Ekolu Pp', 'Ekoku Pl']"
Elua,"['Eluw', 'Elus', 'Elia', 'Elja', 'Wlua']"
Engineer Trail,"['Engineer Trzil', 'Engineer Ttail', 'Engineer Trsil', 'Dngineer Trail', 'Engineer Trakl']"
Enoka Pl,"['Enoka Ol', 'Enoka Po', 'Dnoka Pl', 'Enoma Pl', 'Ejoka Pl']"
G Rd,"['F Rd', 'G Rr', 'G Rr', 'F Rd', 'F Rd']"
Government Rd,"['Governmeny Rd', 'Governmrnt Rd', 'Governmebt Rd', 'Governjent Rd', 'Govrrnment Rd']"
Govt Main Rd,"['Goqt Main Rd', 'Govt Maon Rd', 'Govt Main Fd', 'Govt Maim Rd', 'Fovt Main Rd']"
Greensbank Rd,"['Freensbank Rd', 'Gteensbank Rd', 'Greensbank Re', 'Grednsbank Rd', 'Grwensbank Rd']"
Haina Rd,"['Haina Fd', 'Hainq Rd', 'Haiba Rd', 'Hainw Rd', 'Haima Rd']"
Hale Ct,"['Yale Ct', 'Haoe Ct', 'Hale Xt', 'Hake Ct', 'Halr Ct']"
Haleola Pl,"['Haldola Pl', 'Haleola Ol', 'Halwola Pl', 'Haoeola Pl', 'Haleols Pl']"
Halepiula Rd,"['Halepiula Fd', 'Hwlepiula Rd', 'Hslepiula Rd', 'Halepiula Td', 'Halepiuka Rd']"
Hao Springs Rd,"['Hap Springs Rd', 'Hso Springs Rd', 'Hao Sprinbs Rd', 'Hai Springs Rd', 'Hao Sprongs Rd']"
Haul Cane Rd,"['Haul Fane Rd', 'Haul Cane Rc', 'Haul Cane Ed', 'Haul Cwne Rd', 'Hayl Cane Rd']"
Hawaii Belt Rd,"['Hawaii Belt Rs', 'Hqwaii Belt Rd', 'Hawaii Bely Rd', 'Hswaii Belt Rd', 'Hawaii Bdlt Rd']"
Hawi Rd,"['Hasi Rd', 'Gawi Rd', 'Hawi Rc', 'Hawi Fd', 'Hawi Td']"
Hekau Pl,"['Hekau Ol', 'Hwkau Pl', 'Hekwu Pl', 'Hekqu Pl', 'Hejau Pl']"
Hihio St,"['Hihio Sg', 'Hihio Xt', 'Hkhio St', 'Nihio St', 'Huhio St']"
Hoapili St,"['Hoapilo St', 'Hoqpili St', 'Hlapili St', 'Hoapipi St', 'Hoapkli St']"
Hokuao St,"['Yokuao St', 'Hokiao St', 'Bokuao St', 'Hokuap St', 'Hpkuao St']"
Holo Kula Pl,"['Holo Kuka Pl', 'Holo Kula Ol', 'Holo Kila Pl', 'Holo Kula Pk', 'Nolo Kula Pl']"
Holokai St,"['Hllokai St', 'Hplokai St', 'Holojai St', 'Hokokai St', 'Holokai At']"
Holomoku Pl,"['Holomoki Pl', 'Hokomoku Pl', 'Holonoku Pl', 'Holomoku Pk', 'Hokomoku Pl']"
Holowai,"['Holoeai', 'Nolowai', 'Holoqai', 'Jolowai', 'Holpwai']"
Homestead Rd,"['Homesteae Rd', 'Homestesd Rd', 'Homesteas Rd', 'Homestead Fd', 'Homrstead Rd']"
Honamalino Rd,"['Honamalino Re', 'Hlnamalino Rd', 'Honamslino Rd', 'Honamalino Rf', 'Honamalino Rr']"
Hook Rd,"['Jook Rd', 'Hpok Rd', 'Hoik Rd', 'Hook Td', 'Hook Ed']"
Hoolauna Pl,"['Hoolajna Pl', 'Hoolsuna Pl', 'Hoolauna Pp', 'Hoolaunz Pl', 'Hoolauma Pl']"
Hoolokahi St,"['Hoolpkahi St', 'Hoolokahi Xt', 'Hoolokahi Dt', 'Hoolokahi Zt', 'Hoolokahi At']"
Hualalai Rd,"['Hjalalai Rd', 'Hualakai Rd', 'Hualapai Rd', 'Hualalau Rd', 'Hualalai Td']"
Huanu Rd,"['Huanu Rc', 'Huani Rd', 'Huanu Rs', 'Huany Rd', 'Huanu Fd']"
Huehue Ranch Rd,"['Hiehue Ranch Rd', 'Huehue Tanch Rd', 'Huehue Rancy Rd', 'Huehue Ranch Td', 'Huehue Rqnch Rd']"
Huina Rd,"['Huina Fd', 'Huina Rc', 'Huina Re', 'Huina Rf', 'Hyina Rd']"
Hulukapuna St,"['Hulukapuba St', 'Hulykapuna St', 'Hulukapuba St', 'Hulukapuns St', 'Hulykapuna St']"
Hune-kai St,"['Huhe-kai St', 'Hunr-kai St', 'Hune-kai Sy', 'Hune-iai St', 'Hune-kai Sf']"
Hwy 11,"['Hwh 11', 'Hwy 21', 'Hwy 21', 'Hwh 11', 'Hwy 21']"
Hwy 137,"['Hwy 237', 'Bwy 137', 'Hey 137', 'Hwy 237', 'Hwh 137']"
Hwy 180,"['Hwh 180', 'Hwy 189', 'Ywy 180', 'Hey 180', 'Hwy 190']"
Hwy 250,"['Hwh 250', 'Hwy 259', 'Hsy 250', 'Hwh 250', 'Hey 250']"
Hwy 270,"['Jwy 270', 'Hwy 170', 'Hwy 280', 'Jwy 270', 'Hqy 270']"
Ihilani Pl,"['Ihilano Pl', 'Ihilani Po', 'Ihilani Pk', 'Ihilano Pl', 'Ihklani Pl']"
Iki Rd,"['Iii Rd', 'Uki Rd', 'Ili Rd', 'Iki Re', 'Iki Td']"
